staff_id,hotel_id,full_name,designation,salary,hire_date
1059,73,\N,Security,51977.16,2018-01-01
1060,28,Staff 1060,Manager,73640.29,2019-01-23
1061,8,Staff 1061,Chef,62177.36,2021-03-07
1062,74,Staff 1062,Manager,24013.74,2022-03-12
1063,15,\N,Receptionist,78604.14,2024-06-05
1064,67,Staff 1064,\N,70239.11,2022-09-07
1065,41,Staff 1065,Security,56897.24,2024-12-27
1066,69,\N,Housekeeping,80067.75,2023-09-25
1067,71,Staff 1067,Manager,52551.69,2022-04-23
1068,55,Staff 1068,Manager,96444.58,2024-07-22
1069,91,Staff 1069,Chef,53813.18,2018-10-04
1070,62,Staff 1070,Chef,39839.7,2020-07-03
1071,20,Staff 1071,Chef,50323.07,2018-05-05
1072,72,Staff 1072,Chef,89832.01,2021-12-15
1073,31,\N,Manager,70960.1,2019-08-13
1074,100,Staff 1074,Chef,29127.78,2020-12-24
1075,4,Staff 1075,Housekeeping,47349.73,2022-02-06
1076,100,Staff 1076,Chef,61088.63,2020-12-08
1077,94,Staff 1077,Receptionist,21155.77,2025-01-13
1078,41,Staff 1078,Security,44571.76,2020-06-21
1079,26,Staff 1079,\N,45342.4,2018-12-15
1080,58,Staff 1080,Manager,78867.3,2017-09-21
1081,46,Staff 1081,Manager,61209.08,2018-01-21
1082,59,Staff 1082,Chef,93008.93,2021-02-05
1083,55,Staff 1083,Housekeeping,23254.07,2024-12-06
1084,100,Staff 1084,Security,63110.45,2023-04-10
1085,73,Staff 1085,Housekeeping,57258.63,2024-11-13
1086,37,Staff 1086,Security,94561.42,2021-08-29
1087,31,Staff 1087,Housekeeping,39397.36,2023-12-28
1088,71,Staff 1088,Housekeeping,48034.3,2017-11-26
1089,44,Staff 1089,Chef,28862.49,2019-02-07
1090,81,Staff 1090,Housekeeping,60484.36,2025-03-08
1091,98,Staff 1091,Security,72143.63,2023-07-10
1092,52,Staff 1092,Receptionist,46397.74,2024-11-14
1093,26,Staff 1093,\N,75614.83,2020-01-06
1094,4,Staff 1094,Manager,32849.83,2021-06-28
1095,15,Staff 1095,Chef,39810.31,2016-02-23
1096,5,Staff 1096,Receptionist,49370.18,2023-01-30
1097,45,Staff 1097,Manager,57071.05,2024-10-29
1098,43,Staff 1098,Manager,34959.73,2018-12-26
1099,38,Staff 1099,Manager,40501.81,2017-07-03
1100,57,Staff 1100,Chef,96038.11,2018-04-17
1101,36,Staff 1101,Housekeeping,44110.34,2021-05-21
1102,64,Staff 1102,Receptionist,93831.4,2025-05-14
1103,97,Staff 1103,\N,53421.98,2024-04-29
1104,22,Staff 1104,Manager,75929.5,2025-01-01
1105,91,Staff 1105,\N,95494.32,2016-02-16
1106,30,Staff 1106,\N,71843.13,2017-04-06
1107,40,\N,Receptionist,98884.67,2018-11-21
1108,14,Staff 1108,Chef,94215.36,2021-10-09
1109,46,Staff 1109,Security,89162.38,2023-09-18
1110,93,Staff 1110,Chef,71568.95,2017-12-29
1111,28,Staff 1111,Security,68425.59,2015-09-23
1112,5,Staff 1112,Security,94822.22,2022-07-05
1113,7,Staff 1113,Manager,45485.84,2021-04-28
1114,93,Staff 1114,Housekeeping,86039.41,2020-10-11
1115,12,Staff 1115,\N,90990.4,2020-01-08
1116,95,Staff 1116,Manager,65952.73,2024-03-10
1117,20,Staff 1117,\N,28112.21,2023-12-14
1118,4,\N,Chef,29795.42,2017-06-25
1119,71,Staff 1119,Manager,83280.56,2018-12-01
1120,63,Staff 1120,Chef,57830.73,2021-12-10
1121,41,Staff 1121,\N,98304.18,2016-04-13
1122,57,Staff 1122,Manager,50764.24,2020-05-17
1123,32,Staff 1123,\N,47257.29,2017-12-12
1124,25,Staff 1124,Security,57157.91,2025-02-28
1125,59,\N,Security,46992.54,2020-12-24
1126,4,Staff 1126,Security,43137.4,2016-09-30
1127,93,Staff 1127,Chef,95584.23,2024-01-04
1128,91,Staff 1128,Security,91116.21,2016-12-02
1129,94,\N,Housekeeping,74084.66,2021-05-14
1130,69,\N,Security,88946.3,2018-01-01
1131,32,Staff 1131,Security,30323.04,2016-02-12
1132,96,Staff 1132,\N,53295.34,2015-07-07
1133,83,\N,Manager,68584.32,2022-03-27
1134,74,Staff 1134,Security,41015.65,2023-07-01
1135,30,Staff 1135,Manager,39833.44,2017-10-14
1136,79,Staff 1136,Chef,52616.67,2016-06-14
1137,89,Staff 1137,Manager,79527.72,2021-11-21
1138,64,Staff 1138,Housekeeping,49983.27,2016-09-20
1139,96,Staff 1139,Chef,75881.64,2020-01-09
1140,54,Staff 1140,Chef,47631.64,2021-03-11
1141,55,Staff 1141,\N,25429.52,2020-06-30
1142,31,Staff 1142,Security,66914.41,2019-07-15
1143,33,Staff 1143,Security,72052.76,2021-12-28
1144,26,Staff 1144,Manager,69065.05,2016-05-09
1145,31,Staff 1145,Chef,73868.75,2023-02-01
1146,94,Staff 1146,Receptionist,44491.81,2018-01-03
1147,66,\N,Housekeeping,45716.69,2018-01-17
1148,25,Staff 1148,Security,65376.3,2018-09-13
1149,3,Staff 1149,Receptionist,85495.69,2017-10-17
1150,32,Staff 1150,Manager,49921.26,2017-03-18
1151,27,Staff 1151,Security,85584.11,2019-05-18
1152,21,\N,\N,55596.91,2018-09-21
1153,51,Staff 1153,Chef,91716.17,2024-01-25
1154,5,Staff 1154,Security,80952.71,2021-02-15
1155,20,Staff 1155,Manager,74952.16,2017-05-25
1156,49,Staff 1156,Chef,78024.07,2022-06-11
1157,43,\N,\N,96487.19,2022-04-03
1158,70,Staff 1158,Housekeeping,68948.85,2022-03-04
1159,15,Staff 1159,Manager,44245.27,2017-01-30
1160,48,Staff 1160,Receptionist,79103.76,2017-06-27
1161,13,Staff 1161,Security,79359.21,2017-09-09
1162,42,Staff 1162,Housekeeping,78702.84,2021-05-04
1163,3,Staff 1163,Manager,46767.68,2017-12-02
1164,25,Staff 1164,Receptionist,61071.38,2022-09-24
1165,77,Staff 1165,Receptionist,47846.03,2017-08-03
1166,61,Staff 1166,Housekeeping,66836.98,2019-04-18
1167,4,Staff 1167,Manager,94071.34,2021-11-24
1168,22,Staff 1168,Security,37510.12,2022-08-30
1169,91,Staff 1169,Security,94494.29,2022-09-16
1170,10,Staff 1170,\N,35704.25,2015-10-15
1171,93,Staff 1171,\N,35064.23,2020-07-06
1172,34,Staff 1172,Chef,66132.84,2020-10-06
1173,40,Staff 1173,Housekeeping,91252.23,2019-12-09
1174,97,\N,Receptionist,64662.27,2019-08-20
1175,22,Staff 1175,\N,23920.08,2020-01-06
1176,27,Staff 1176,Security,45097.75,2018-12-12
1177,29,Staff 1177,Receptionist,83367.81,2021-02-15
1178,38,Staff 1178,Manager,88642.48,2016-03-16
1179,18,Staff 1179,Security,77025.6,2022-07-09
1180,58,Staff 1180,Manager,35558.21,2018-08-21
1181,93,Staff 1181,Manager,50669.19,2016-01-11
1182,36,Staff 1182,\N,62351.63,2018-07-08
1183,4,Staff 1183,Chef,46080.05,2019-06-07
1184,57,Staff 1184,Receptionist,47746.02,2025-01-31
1185,37,Staff 1185,Manager,62447.87,2023-09-11
1186,46,Staff 1186,Manager,66128.79,2015-09-13
1187,75,Staff 1187,\N,84728.62,2017-05-27
1188,83,Staff 1188,\N,46438.12,2016-10-02
1189,61,Staff 1189,Housekeeping,74917.53,2021-02-20
1190,88,Staff 1190,Manager,47377.03,2024-02-18
1191,64,Staff 1191,Chef,76610.05,2018-07-04
1192,47,Staff 1192,\N,77048.76,2023-05-07
1193,98,Staff 1193,Receptionist,73597.46,2015-08-25
1194,75,Staff 1194,Manager,78031.7,2023-01-01
1195,80,Staff 1195,Security,78165.26,2019-04-14
1196,65,Staff 1196,Chef,20889.17,2023-08-20
1197,36,Staff 1197,Receptionist,54001.02,2017-03-22
1198,4,\N,Security,61837.17,2019-06-29
1199,45,Staff 1199,Receptionist,98496.93,2018-08-10
1200,90,Staff 1200,Manager,42857.27,2023-11-27
1201,2,\N,\N,54221.1,2024-06-08
1202,77,Staff 1202,Chef,49365.97,2020-04-15
1203,67,Staff 1203,Security,63205.25,2022-10-19
1204,47,Staff 1204,Housekeeping,37305.92,2015-11-14
1205,15,Staff 1205,Chef,20581.13,2022-01-14
1206,95,Staff 1206,Manager,31810.77,2024-10-20
1207,6,Staff 1207,Security,31606.62,2023-04-08
1208,95,Staff 1208,Receptionist,54917.07,2021-03-01
1209,23,Staff 1209,Housekeeping,87724.03,2022-09-11
1210,20,Staff 1210,Receptionist,67244.99,2022-05-04
1211,59,Staff 1211,Chef,56614.49,2015-12-08
1212,43,Staff 1212,Housekeeping,72450.45,2015-07-22
1213,99,Staff 1213,Housekeeping,45253.89,2022-08-01
1214,81,Staff 1214,Chef,87122.7,2016-11-23
1215,44,Staff 1215,Manager,97858.85,2018-05-27
1216,71,\N,\N,45031.53,2018-12-03
1217,68,Staff 1217,Receptionist,67957.04,2022-10-18
1218,68,Staff 1218,Housekeeping,76410.5,2018-04-05
1219,24,Staff 1219,\N,74176.83,2020-02-04
1220,83,Staff 1220,Housekeeping,76632.26,2017-06-22
1221,5,Staff 1221,Manager,22497.79,2023-07-14
1222,51,Staff 1222,Manager,34358.86,2017-12-03
1223,86,\N,\N,89714.07,2023-07-21
1224,27,Staff 1224,Chef,44464.46,2018-04-18
1225,65,Staff 1225,Chef,90541.15,2018-08-01
1226,64,Staff 1226,\N,39753.83,2024-11-22
1227,86,Staff 1227,Receptionist,47881.39,2018-04-02
1228,43,Staff 1228,Chef,93099.39,2017-03-10
1229,69,Staff 1229,\N,95934.07,2016-01-14
1230,55,Staff 1230,Security,62003.28,2020-10-06
1231,24,Staff 1231,Security,82607.18,2017-02-28
1232,72,Staff 1232,Security,22821.96,2022-05-26
1233,61,Staff 1233,Security,86048.37,2020-08-13
1234,40,\N,Housekeeping,29744.03,2024-07-21
1235,11,\N,Housekeeping,95849.7,2024-08-02
1236,82,\N,\N,92325.32,2016-09-16
1237,4,\N,Receptionist,67057.01,2021-10-22
1238,80,Staff 1238,Manager,47149.14,2015-06-26
1239,63,Staff 1239,Chef,67899.97,2022-04-28
1240,9,Staff 1240,\N,20714.91,2022-10-27
1241,67,Staff 1241,Manager,74227.29,2018-06-09
1242,99,Staff 1242,Housekeeping,70737.77,2015-07-31
1243,32,Staff 1243,Housekeeping,80167.71,2015-12-06
1244,62,Staff 1244,Security,68123.81,2016-03-21
1245,35,Staff 1245,Manager,44248.68,2016-05-22
1246,39,Staff 1246,Housekeeping,59093.25,2025-04-30
1247,50,\N,Security,41399.84,2025-03-17
1248,48,Staff 1248,Housekeeping,64840.01,2023-03-28
1249,12,Staff 1249,Manager,76021.44,2022-01-24
1250,9,\N,Manager,64644.71,2016-11-15
1251,67,Staff 1251,Chef,93298.2,2024-01-02
1252,27,Staff 1252,Security,77785.38,2018-07-28
1253,11,\N,Chef,25477.28,2019-09-17
1254,59,Staff 1254,Chef,53657.62,2017-05-31
1255,5,Staff 1255,Receptionist,61258.2,2020-09-19
1256,60,Staff 1256,Security,59284.54,2018-03-18
1257,67,Staff 1257,\N,94386.9,2025-02-10
1258,14,Staff 1258,Chef,43380.78,2021-11-25
1259,27,Staff 1259,Security,54410.51,2016-01-10
1260,65,Staff 1260,Chef,86907.97,2023-12-20
1261,34,Staff 1261,Receptionist,99497.28,2019-09-25
1262,98,Staff 1262,Receptionist,54059.59,2021-08-31
1263,72,Staff 1263,Housekeeping,97598.15,2017-02-02
1264,11,\N,Security,29357.51,2020-07-05
1265,60,Staff 1265,\N,65041.84,2025-02-07
1266,60,Staff 1266,Security,20428.12,2016-02-29
1267,38,\N,Manager,27126.86,2019-04-17
1268,21,Staff 1268,Manager,63545.26,2016-03-11
1269,51,Staff 1269,Receptionist,54414.58,2023-01-09
1270,4,Staff 1270,Chef,96138.21,2023-11-09
1271,69,Staff 1271,Manager,74022.87,2015-06-23
1272,16,\N,Manager,97453.03,2022-09-11
1273,63,Staff 1273,Housekeeping,33509.11,2021-12-25
1274,35,Staff 1274,Receptionist,95288.14,2017-01-21
1275,46,Staff 1275,Manager,89906.04,2018-01-21
1276,58,\N,Chef,23840.79,2018-01-01
1277,15,Staff 1277,\N,20555.05,2022-08-22
1278,44,Staff 1278,Receptionist,59991.45,2022-12-31
1279,18,\N,Security,22816.46,2016-06-04
1280,37,Staff 1280,\N,89127.56,2025-01-28
1281,72,\N,Receptionist,67956.21,2016-09-21
1282,8,\N,Manager,40858.09,2023-06-06
1283,43,Staff 1283,Chef,88568.71,2019-04-03
1284,97,Staff 1284,Security,61358.7,2021-02-13
1285,23,Staff 1285,Receptionist,59482.37,2021-06-19
1286,97,Staff 1286,Security,91854.06,2017-02-05
1287,12,Staff 1287,Security,64592.5,2021-04-25
1288,51,Staff 1288,\N,57420.8,2021-05-25
1289,80,\N,\N,88169.28,2019-07-14
1290,50,\N,Receptionist,76018.26,2018-10-24
1291,43,Staff 1291,Manager,72302.05,2020-10-10
1292,31,Staff 1292,Chef,53374.39,2022-09-01
1293,57,Staff 1293,Housekeeping,94956.77,2024-01-23
1294,5,Staff 1294,\N,31600.48,2018-05-11
1295,51,Staff 1295,Security,92188.33,2019-02-24
1296,44,Staff 1296,Security,86936.04,2021-08-25
1297,30,Staff 1297,Chef,50334.83,2016-06-02
1298,58,\N,Manager,76047.26,2015-07-16
1299,30,Staff 1299,Chef,72291.21,2018-01-25
1300,80,Staff 1300,Security,31510.59,2020-02-13
1301,25,Staff 1301,Chef,47942.09,2022-05-16
1302,90,Staff 1302,Manager,52644.92,2017-11-10
1303,99,Staff 1303,Security,30969.76,2018-07-08
1304,70,Staff 1304,Housekeeping,92668.29,2020-06-26
1305,50,\N,Manager,94056.73,2024-06-04
1306,94,Staff 1306,\N,73782.28,2021-04-02
1307,30,Staff 1307,Receptionist,42619.94,2024-09-12
1308,3,Staff 1308,Security,34400.5,2019-11-05
1309,93,Staff 1309,\N,29823.4,2025-05-22
1310,43,\N,Chef,53678.78,2017-10-14
1311,63,Staff 1311,\N,36034.54,2016-05-21
1312,33,\N,Security,75469.42,2023-08-08
1313,19,Staff 1313,Security,62897.1,2025-02-15
1314,80,Staff 1314,Manager,71425.03,2017-06-06
1315,66,Staff 1315,Manager,27543.15,2024-08-12
1316,33,Staff 1316,Receptionist,98058.46,2016-05-05
1317,90,Staff 1317,Manager,69071.0,2018-03-15
1318,15,\N,Chef,78941.23,2019-03-06
1319,46,Staff 1319,Chef,59799.05,2019-11-29
1320,49,Staff 1320,\N,79437.52,2016-09-05
1321,69,Staff 1321,Manager,26310.76,2019-12-06
1322,78,\N,Manager,93700.68,2016-03-18
1323,9,Staff 1323,Security,90836.52,2022-04-26
1324,41,Staff 1324,Security,64464.35,2019-06-28
1325,26,Staff 1325,Manager,74831.95,2019-04-12
1326,61,\N,Receptionist,61054.62,2022-11-08
1327,8,\N,Manager,49871.7,2017-12-15
1328,58,Staff 1328,Receptionist,65716.27,2023-02-19
1329,45,Staff 1329,Chef,95922.33,2018-10-29
1330,53,\N,Security,99810.81,2021-10-27
1331,9,Staff 1331,\N,95694.66,2022-01-08
1332,66,Staff 1332,Security,59529.09,2022-09-05
1333,25,Staff 1333,Receptionist,39608.62,2024-08-06
1334,6,Staff 1334,Security,38651.99,2016-07-20
1335,83,Staff 1335,Chef,42205.49,2023-08-18
1336,43,Staff 1336,Housekeeping,99804.68,2017-12-09
1337,81,Staff 1337,Receptionist,89854.74,2021-09-05
1338,60,\N,Manager,43687.39,2023-03-17
1339,63,Staff 1339,Receptionist,87793.65,2022-05-24
1340,42,\N,\N,39151.13,2016-06-01
1341,54,Staff 1341,Chef,38273.23,2019-11-15
1342,87,Staff 1342,Housekeeping,22099.62,2015-09-09
1343,54,Staff 1343,Chef,32977.38,2019-03-02
1344,92,Staff 1344,Security,41796.37,2020-03-07
1345,95,Staff 1345,Manager,99105.51,2022-04-28
1346,51,Staff 1346,\N,26090.91,2020-01-30
1347,16,\N,\N,76175.5,2020-03-15
1348,3,Staff 1348,Security,60239.23,2025-04-05
1349,59,Staff 1349,Manager,94739.19,2023-12-07
1350,32,Staff 1350,Chef,26669.41,2024-04-17
1351,69,Staff 1351,Receptionist,58801.21,2024-04-22
1352,29,\N,Receptionist,33007.84,2024-12-09
1353,12,Staff 1353,Receptionist,77758.41,2021-11-06
1354,98,Staff 1354,Chef,72086.57,2015-07-28
1355,89,Staff 1355,Manager,77863.95,2022-01-14
1356,96,Staff 1356,Housekeeping,54991.96,2019-08-03
1357,70,Staff 1357,Chef,97917.58,2023-04-15
1358,64,Staff 1358,Receptionist,29720.36,2024-03-13
1359,31,Staff 1359,Housekeeping,65944.53,2021-04-05
1360,77,Staff 1360,Chef,89096.54,2021-02-21
1361,8,Staff 1361,Receptionist,37566.81,2020-07-12
1362,83,Staff 1362,\N,25589.5,2019-06-18
1363,76,Staff 1363,Manager,92474.87,2020-07-24
1364,18,Staff 1364,Security,46873.79,2019-12-26
1365,85,Staff 1365,Chef,36444.99,2016-06-11
1366,29,Staff 1366,Receptionist,88029.48,2016-05-04
1367,17,Staff 1367,Chef,41677.5,2022-11-20
1368,91,Staff 1368,\N,30504.51,2025-03-11
1369,63,Staff 1369,Manager,81938.52,2021-01-02
1370,70,Staff 1370,Chef,58996.76,2019-02-27
1371,2,Staff 1371,Receptionist,94325.61,2016-03-05
1372,8,Staff 1372,Chef,96046.48,2019-09-24
1373,41,Staff 1373,Receptionist,62264.31,2024-05-23
1374,52,\N,Manager,72436.01,2020-10-30
1375,66,Staff 1375,Chef,66506.12,2016-09-05
1376,41,Staff 1376,Housekeeping,22986.85,2023-06-03
1377,4,Staff 1377,\N,79342.09,2019-01-24
1378,49,Staff 1378,Housekeeping,64726.09,2024-01-10
1379,55,\N,Manager,83670.58,2017-04-18
1380,46,Staff 1380,Chef,31635.21,2023-12-27
1381,41,Staff 1381,Chef,84489.3,2020-05-05
1382,2,Staff 1382,Manager,68431.68,2019-08-17
1383,33,Staff 1383,Receptionist,79295.09,2018-01-22
1384,84,Staff 1384,Receptionist,66905.76,2019-06-21
1385,48,\N,Chef,52571.41,2018-06-14
1386,50,\N,Security,84599.46,2023-01-12
1387,50,\N,Housekeeping,66447.15,2017-10-08
1388,18,Staff 1388,Receptionist,53524.86,2019-10-29
1389,12,Staff 1389,Chef,44718.86,2023-03-12
1390,41,Staff 1390,Security,45336.59,2018-04-05
1391,51,Staff 1391,Chef,45576.38,2016-02-09
1392,70,\N,\N,30987.36,2025-02-26
1393,46,Staff 1393,Chef,84925.91,2024-10-26
1394,38,Staff 1394,Security,90408.67,2024-08-21
1395,49,Staff 1395,Housekeeping,42247.17,2025-05-10
1396,55,Staff 1396,Manager,94872.92,2021-06-09
1397,35,Staff 1397,Security,49566.82,2024-10-16
1398,47,Staff 1398,Manager,78867.36,2017-08-23
1399,29,Staff 1399,Receptionist,59914.67,2016-02-27
1400,38,Staff 1400,Chef,99646.14,2025-05-08
1401,60,Staff 1401,Manager,98602.69,2024-07-28
1402,28,Staff 1402,\N,27737.2,2018-09-09
1403,77,Staff 1403,Receptionist,30132.49,2020-05-05
1404,38,Staff 1404,\N,68413.94,2016-04-09
1405,84,\N,\N,34441.08,2025-02-08
1406,29,\N,Manager,62405.5,2016-04-03
1407,16,Staff 1407,Receptionist,36078.12,2017-11-27
1408,95,Staff 1408,Housekeeping,87955.85,2019-07-22
1409,80,Staff 1409,\N,37781.42,2017-03-15
1410,2,Staff 1410,\N,89302.53,2016-05-01
1411,37,\N,Chef,39914.11,2021-08-13
1412,74,\N,Manager,34517.59,2021-10-28
1413,42,Staff 1413,Receptionist,58613.04,2024-08-09
1414,46,\N,Receptionist,94309.65,2016-02-27
1415,69,Staff 1415,Security,93635.22,2019-02-05
1416,85,\N,Security,64323.39,2022-09-17
1417,48,Staff 1417,Manager,43035.93,2016-09-06
1418,95,Staff 1418,Manager,42821.92,2023-10-05
1419,24,\N,Security,90465.0,2015-10-25
1420,66,Staff 1420,Security,93275.71,2023-08-25
1421,27,Staff 1421,Security,68641.87,2025-05-24
1422,71,Staff 1422,Housekeeping,78854.65,2016-02-27
1423,88,\N,Manager,67061.65,2015-09-12
1424,29,Staff 1424,Receptionist,28365.33,2018-10-22
1425,64,Staff 1425,Chef,76087.58,2024-07-09
1426,93,Staff 1426,Receptionist,30662.86,2017-01-28
1427,51,Staff 1427,Housekeeping,63813.21,2019-12-19
1428,45,Staff 1428,Manager,40678.82,2017-03-22
1429,61,Staff 1429,Security,97286.13,2021-05-30
1430,30,Staff 1430,Housekeeping,27192.56,2025-05-18
1431,4,Staff 1431,Manager,41032.42,2023-07-11
1432,66,Staff 1432,Housekeeping,51716.32,2022-12-12
1433,32,Staff 1433,Receptionist,47500.97,2024-06-27
1434,61,Staff 1434,Chef,76401.49,2017-07-01
1435,38,Staff 1435,Security,32289.95,2021-07-13
1436,28,Staff 1436,Manager,36319.74,2018-02-05
1437,14,Staff 1437,Manager,68799.25,2016-06-17
1438,82,\N,Housekeeping,39285.81,2019-08-24
1439,4,Staff 1439,Housekeeping,79595.49,2018-06-25
1440,7,Staff 1440,Housekeeping,52014.38,2023-12-22
1441,2,Staff 1441,Security,65263.48,2020-01-03
1442,67,Staff 1442,Security,94794.08,2016-02-03
1443,42,\N,Manager,33447.8,2023-12-06
1444,39,Staff 1444,Housekeeping,49291.2,2017-04-14
1445,84,\N,Housekeeping,49929.28,2021-02-25
1446,29,Staff 1446,Manager,84800.06,2018-02-06
1447,96,Staff 1447,Housekeeping,70478.94,2018-09-10
1448,66,Staff 1448,Housekeeping,45205.99,2021-10-15
1449,80,Staff 1449,Chef,95066.37,2021-01-14
1450,89,Staff 1450,Manager,80065.04,2016-01-23
1451,96,Staff 1451,Security,66404.0,2023-04-08
1452,75,Staff 1452,Security,84405.3,2023-07-07
1453,2,Staff 1453,Security,73011.8,2021-04-08
1454,86,\N,\N,76474.96,2018-11-07
1455,82,Staff 1455,Housekeeping,73670.04,2017-10-15
1456,49,Staff 1456,\N,86504.58,2019-05-20
1457,29,Staff 1457,Receptionist,67112.92,2024-05-23
1458,63,Staff 1458,Manager,95350.04,2023-11-16
1459,68,Staff 1459,Receptionist,30062.44,2018-04-15
1460,94,Staff 1460,Housekeeping,36372.73,2024-02-19
1461,97,Staff 1461,Manager,49199.27,2018-01-10
1462,53,Staff 1462,Receptionist,92109.86,2017-01-10
1463,89,Staff 1463,Manager,79472.05,2018-11-16
1464,58,Staff 1464,Security,62017.46,2019-08-28
1465,16,Staff 1465,Security,31873.02,2021-02-15
1466,48,\N,\N,27584.14,2020-12-04
1467,31,Staff 1467,Housekeeping,76969.87,2019-12-28
1468,47,Staff 1468,Security,44174.45,2024-12-09
1469,1,Staff 1469,Housekeeping,34053.54,2021-07-24
1470,35,Staff 1470,Manager,28149.0,2022-05-13
1471,95,Staff 1471,Manager,20029.82,2016-11-02
1472,30,Staff 1472,Chef,58792.26,2015-12-20
1473,66,Staff 1473,Housekeeping,68136.29,2022-02-14
1474,17,\N,Chef,29599.11,2019-01-28
1475,74,Staff 1475,Housekeeping,63545.61,2016-01-30
1476,88,Staff 1476,Manager,80975.64,2020-12-26
1477,71,Staff 1477,Security,59831.67,2018-09-03
1478,98,Staff 1478,Chef,82718.02,2023-01-13
1479,33,Staff 1479,Housekeeping,62317.46,2022-07-13
1480,99,Staff 1480,\N,96162.62,2015-11-03
1481,85,Staff 1481,Chef,65899.79,2022-04-24
1482,56,Staff 1482,Security,75646.83,2018-09-06
1483,72,Staff 1483,Security,24891.94,2015-09-22
1484,21,Staff 1484,Chef,78551.85,2025-04-12
1485,5,Staff 1485,Security,33468.05,2021-09-16
1486,13,Staff 1486,Manager,98616.61,2018-06-02
1487,2,\N,Chef,34765.08,2019-10-16
1488,81,Staff 1488,Manager,77581.86,2018-06-22
1489,68,Staff 1489,Housekeeping,27156.22,2020-05-14
1490,10,Staff 1490,Security,31925.94,2016-01-16
1491,73,Staff 1491,Housekeeping,25528.17,2018-03-23
1492,4,Staff 1492,Manager,60388.92,2023-05-08
1493,25,Staff 1493,Chef,94774.04,2016-05-05
1494,43,Staff 1494,Manager,71759.81,2021-08-21
1495,40,Staff 1495,Security,54903.13,2022-04-27
1496,75,Staff 1496,Manager,70310.39,2020-02-09
1497,3,Staff 1497,Chef,65679.46,2018-04-24
1498,66,Staff 1498,\N,45803.65,2020-02-28
1499,100,Staff 1499,Housekeeping,57583.37,2016-02-28
1500,2,\N,Chef,88083.08,2020-05-22
1501,15,Staff 1501,Security,82289.6,2016-11-10
1502,6,Staff 1502,Security,58484.21,2023-03-26
1503,76,Staff 1503,Receptionist,66926.17,2025-01-16
1504,64,Staff 1504,Housekeeping,28463.63,2020-06-04
1505,74,Staff 1505,Security,59837.81,2019-08-26
1506,77,Staff 1506,Housekeeping,25033.62,2021-11-27
1507,72,Staff 1507,Security,70752.05,2020-09-12
1508,43,Staff 1508,Security,49963.68,2016-02-23
1509,71,\N,Receptionist,40421.7,2017-05-23
1510,66,Staff 1510,\N,62063.56,2020-01-12
1511,72,Staff 1511,Manager,29774.17,2022-08-07
1512,64,Staff 1512,Security,28676.33,2020-09-03
1513,53,Staff 1513,Housekeeping,20110.97,2016-08-31
1514,99,Staff 1514,Receptionist,82753.39,2020-04-21
1515,45,Staff 1515,Housekeeping,44294.65,2016-09-11
1516,48,Staff 1516,Housekeeping,95404.88,2024-09-13
1517,45,Staff 1517,Manager,79964.04,2017-12-26
1518,44,\N,Receptionist,78144.19,2023-06-21
1519,78,Staff 1519,Housekeeping,98967.37,2016-01-18
1520,64,\N,Security,38390.96,2016-06-15
1521,22,Staff 1521,Manager,88860.49,2020-06-11
1522,97,Staff 1522,Receptionist,77157.14,2025-03-06
1523,41,Staff 1523,Receptionist,94552.74,2021-08-23
1524,57,Staff 1524,Security,87336.15,2016-12-29
1525,97,\N,Manager,54176.33,2020-12-15
